long_onda,abs
6.002353e+002,4.126511e+001
6.007174e+002,4.129912e+001
6.011995e+002,4.134865e+001
6.016816e+002,4.141573e+001
6.021638e+002,4.149186e+001
6.026459e+002,4.156243e+001
6.031280e+002,4.161619e+001
6.036101e+002,4.165155e+001
6.040922e+002,4.167796e+001
6.045743e+002,4.171069e+001
6.050565e+002,4.176210e+001
6.055386e+002,4.183490e+001
6.060207e+002,4.192002e+001
6.065028e+002,4.200190e+001
6.069849e+002,4.206632e+001
6.074670e+002,4.210888e+001
6.079492e+002,4.213625e+001
6.084313e+002,4.216238e+001
6.089134e+002,4.219946e+001
6.093955e+002,4.225165e+001
6.098776e+002,4.231237e+001
6.103597e+002,4.236936e+001
6.108419e+002,4.241174e+001
6.113240e+002,4.243734e+001
6.118061e+002,4.245403e+001
6.122882e+002,4.247607e+001
6.127703e+002,4.251574e+001
6.132524e+002,4.257628e+001
6.137346e+002,4.265049e+001
6.142167e+002,4.272479e+001
6.146988e+002,4.278789e+001
6.151809e+002,4.283616e+001
6.156630e+002,4.287609e+001
6.161451e+002,4.291945e+001
6.166273e+002,4.297661e+001
6.171094e+002,4.304873e+001
6.175915e+002,4.312701e+001
6.180736e+002,4.319677e+001
6.185557e+002,4.324680e+001
6.190378e+002,4.327517e+001
6.195200e+002,4.329040e+001
6.200021e+002,4.330613e+001
6.204842e+002,4.333421e+001
6.209663e+002,4.337852e+001
6.214484e+002,4.343381e+001
6.219305e+002,4.348955e+001
6.224127e+002,4.353664e+001
6.228948e+002,4.357314e+001
6.233769e+002,4.360493e+001
6.238590e+002,4.364218e+001
6.243411e+002,4.369236e+001
6.248232e+002,4.375585e+001
6.253054e+002,4.382469e+001
6.257875e+002,4.388774e+001
6.262696e+002,4.393600e+001
6.267517e+002,4.396830e+001
6.272338e+002,4.399112e+001
6.277159e+002,4.401527e+001
6.281981e+002,4.404918e+001
6.286802e+002,4.409443e+001
6.291623e+002,4.414521e+001
6.296444e+002,4.419193e+001
6.301265e+002,4.422749e+001
6.306086e+002,4.425090e+001
6.310908e+002,4.426864e+001
6.315729e+002,4.429084e+001
6.320550e+002,4.432652e+001
6.325371e+002,4.437823e+001
6.330192e+002,4.444165e+001
6.335013e+002,4.450815e+001
6.339835e+002,4.457048e+001
6.344656e+002,4.462623e+001
6.349477e+002,4.467886e+001
6.354298e+002,4.473436e+001
6.359119e+002,4.479705e+001
6.363940e+002,4.486580e+001
6.368762e+002,4.493446e+001
6.373583e+002,4.499489e+001
6.378404e+002,4.504203e+001
6.383225e+002,4.507699e+001
6.388046e+002,4.510684e+001
6.392867e+002,4.514085e+001
6.397689e+002,4.518518e+001
6.402510e+002,4.524006e+001
6.407331e+002,4.529941e+001
6.412152e+002,4.535516e+001
6.416973e+002,4.540135e+001
6.421794e+002,4.543805e+001
6.426616e+002,4.547063e+001
6.431437e+002,4.550706e+001
6.436258e+002,4.555278e+001
6.441079e+002,4.560784e+001
6.445900e+002,4.566716e+001
6.450721e+002,4.572429e+001
6.455543e+002,4.577547e+001
6.460364e+002,4.582250e+001
6.465185e+002,4.587169e+001
6.470006e+002,4.593031e+001
6.474827e+002,4.600192e+001
6.479648e+002,4.608352e+001
6.484470e+002,4.616617e+001
6.489291e+002,4.623935e+001
6.494112e+002,4.629686e+001
6.498933e+002,4.633940e+001
6.503754e+002,4.637438e+001
6.508575e+002,4.641112e+001
6.513397e+002,4.645658e+001
6.518218e+002,4.651156e+001
6.523039e+002,4.657121e+001
6.527860e+002,4.662833e+001
6.532681e+002,4.667815e+001
6.537502e+002,4.672113e+001
6.542324e+002,4.676236e+001
6.547145e+002,4.680814e+001
6.551966e+002,4.686149e+001
6.556787e+002,4.692013e+001
6.561608e+002,4.697746e+001
6.566429e+002,4.702671e+001
6.571251e+002,4.706493e+001
6.576072e+002,4.709551e+001
6.580893e+002,4.712649e+001
6.585714e+002,4.716692e+001
6.590535e+002,4.722146e+001
6.595356e+002,4.728833e+001
6.600178e+002,4.736021e+001
6.604999e+002,4.742902e+001
6.609820e+002,4.748999e+001
6.614641e+002,4.754376e+001
6.619462e+002,4.759469e+001
6.624283e+002,4.764703e+001
