long_onda,abs
6.002353e+002,5.866314e+001
6.007174e+002,5.869037e+001
6.011995e+002,5.874088e+001
6.016816e+002,5.881913e+001
6.021638e+002,5.891698e+001
6.026459e+002,5.901749e+001
6.031280e+002,5.910360e+001
6.036101e+002,5.916642e+001
6.040922e+002,5.920766e+001
6.045743e+002,5.923755e+001
6.050565e+002,5.926739e+001
6.055386e+002,5.930314e+001
6.060207e+002,5.934153e+001
6.065028e+002,5.937324e+001
6.069849e+002,5.938883e+001
6.074670e+002,5.938608e+001
6.079492e+002,5.937153e+001
6.084313e+002,5.935829e+001
6.089134e+002,5.935754e+001
6.093955e+002,5.937293e+001
6.098776e+002,5.939742e+001
6.103597e+002,5.941796e+001
6.108419e+002,5.942199e+001
6.113240e+002,5.940530e+001
6.118061e+002,5.937408e+001
6.122882e+002,5.934219e+001
6.127703e+002,5.932286e+001
6.132524e+002,5.932117e+001
6.137346e+002,5.933134e+001
6.142167e+002,5.934019e+001
6.146988e+002,5.933539e+001
6.151809e+002,5.931166e+001
6.156630e+002,5.927480e+001
6.161451e+002,5.923780e+001
6.166273e+002,5.921439e+001
6.171094e+002,5.921008e+001
6.175915e+002,5.921923e+001
6.180736e+002,5.922800e+001
6.185557e+002,5.922305e+001
6.190378e+002,5.919888e+001
6.195200e+002,5.916057e+001
6.200021e+002,5.912059e+001
6.204842e+002,5.909191e+001
6.209663e+002,5.908144e+001
6.214484e+002,5.908640e+001
6.219305e+002,5.909765e+001
6.224127e+002,5.910518e+001
6.228948e+002,5.910480e+001
6.233769e+002,5.910016e+001
6.238590e+002,5.910040e+001
6.243411e+002,5.911363e+001
6.248232e+002,5.914233e+001
6.253054e+002,5.918070e+001
6.257875e+002,5.921856e+001
6.262696e+002,5.924636e+001
6.267517e+002,5.926130e+001
6.272338e+002,5.926833e+001
6.277159e+002,5.927783e+001
6.281981e+002,5.929946e+001
6.286802e+002,5.933736e+001
6.291623e+002,5.938913e+001
6.296444e+002,5.944831e+001
6.301265e+002,5.950978e+001
6.306086e+002,5.957357e+001
6.310908e+002,5.964560e+001
6.315729e+002,5.973396e+001
6.320550e+002,5.984379e+001
6.325371e+002,5.997242e+001
6.330192e+002,6.010912e+001
6.335013e+002,6.023866e+001
6.339835e+002,6.034908e+001
6.344656e+002,6.043621e+001
6.349477e+002,6.050595e+001
6.354298e+002,6.057040e+001
6.359119e+002,6.064251e+001
6.363940e+002,6.073004e+001
6.368762e+002,6.083276e+001
6.373583e+002,6.094495e+001
6.378404e+002,6.106002e+001
6.383225e+002,6.117533e+001
6.388046e+002,6.129338e+001
6.392867e+002,6.141970e+001
6.397689e+002,6.155822e+001
6.402510e+002,6.170797e+001
6.407331e+002,6.186196e+001
6.412152e+002,6.201077e+001
6.416973e+002,6.214642e+001
6.421794e+002,6.226671e+001
6.426616e+002,6.237549e+001
6.431437e+002,6.248034e+001
6.436258e+002,6.258762e+001
6.441079e+002,6.269913e+001
6.445900e+002,6.281126e+001
6.450721e+002,6.291763e+001
6.455543e+002,6.301345e+001
6.460364e+002,6.309853e+001
6.465185e+002,6.317787e+001
6.470006e+002,6.325900e+001
6.474827e+002,6.334796e+001
6.479648e+002,6.344537e+001
6.484470e+002,6.354625e+001
6.489291e+002,6.364235e+001
6.494112e+002,6.372724e+001
6.498933e+002,6.379910e+001
6.503754e+002,6.386163e+001
6.508575e+002,6.392080e+001
6.513397e+002,6.398116e+001
6.518218e+002,6.404208e+001
6.523039e+002,6.409788e+001
6.527860e+002,6.414003e+001
6.532681e+002,6.416238e+001
6.537502e+002,6.416444e+001
6.542324e+002,6.415250e+001
6.547145e+002,6.413699e+001
6.551966e+002,6.412753e+001
6.556787e+002,6.412978e+001
6.561608e+002,6.414309e+001
6.566429e+002,6.416256e+001
6.571251e+002,6.418241e+001
6.576072e+002,6.419998e+001
6.580893e+002,6.421684e+001
6.585714e+002,6.423750e+001
6.590535e+002,6.426610e+001
6.595356e+002,6.430344e+001
6.600178e+002,6.434633e+001
6.604999e+002,6.438951e+001
6.609820e+002,6.442899e+001
6.614641e+002,6.446478e+001
6.619462e+002,6.450149e+001
6.624283e+002,6.454627e+001
6.629105e+002,6.460519e+001
6.633926e+002,6.467958e+001
6.638747e+002,6.476530e+001
6.643568e+002,6.485394e+001
6.648389e+002,6.493667e+001
6.653210e+002,6.500435e+001
6.658032e+002,6.504886e+001
6.662853e+002,6.506238e+001
6.667674e+002,6.503767e+001
6.672495e+002,6.497314e+001
6.677316e+002,6.488139e+001
6.682137e+002,6.479500e+001
6.686959e+002,6.475104e+001
6.691780e+002,6.476781e+001
6.696601e+002,6.484044e+001
6.701422e+002,6.495097e+001
6.706243e+002,6.508006e+001
6.711064e+002,6.521003e+001
6.715886e+002,6.532712e+001
6.720707e+002,6.542145e+001
6.725528e+002,6.548791e+001
6.730349e+002,6.552836e+001
6.735170e+002,6.555025e+001
6.739991e+002,6.556384e+001
6.744813e+002,6.557697e+001
6.749634e+002,6.559259e+001
6.754455e+002,6.560828e+001
6.759276e+002,6.561947e+001
6.764097e+002,6.562282e+001
6.768918e+002,6.561916e+001
6.773740e+002,6.561319e+001
6.778561e+002,6.561111e+001
6.783382e+002,6.561678e+001
6.788203e+002,6.562943e+001
6.793024e+002,6.564395e+001
6.797845e+002,6.565379e+001
6.802667e+002,6.565486e+001
6.807488e+002,6.564767e+001
6.812309e+002,6.563749e+001
6.817130e+002,6.563121e+001
6.821951e+002,6.563443e+001
6.826772e+002,6.564833e+001
6.831594e+002,6.567007e+001
6.836415e+002,6.569474e+001
6.841236e+002,6.571891e+001
6.846057e+002,6.574281e+001
6.850878e+002,6.577040e+001
6.855699e+002,6.580681e+001
6.860521e+002,6.585569e+001
6.865342e+002,6.591698e+001
6.870163e+002,6.598708e+001
6.874984e+002,6.606088e+001
6.879805e+002,6.613443e+001
6.884626e+002,6.620701e+001
6.889448e+002,6.628080e+001
6.894269e+002,6.635872e+001
6.899090e+002,6.644155e+001
6.903911e+002,6.652645e+001
6.908732e+002,6.660754e+001
6.913553e+002,6.667888e+001
6.918375e+002,6.673692e+001
6.923196e+002,6.678278e+001
6.928017e+002,6.682140e+001
6.932838e+002,6.685952e+001
6.937659e+002,6.690192e+001
6.942480e+002,6.694945e+001
6.947302e+002,6.699899e+001
6.952123e+002,6.704588e+001
6.956944e+002,6.708683e+001
6.961765e+002,6.712194e+001
6.966586e+002,6.715471e+001
6.971407e+002,6.718980e+001
6.976229e+002,6.723062e+001
6.981050e+002,6.727711e+001
6.985871e+002,6.732616e+001
6.990692e+002,6.737357e+001
6.995513e+002,6.741702e+001
7.000334e+002,6.745765e+001
7.005156e+002,6.749986e+001
7.009977e+002,6.754860e+001
7.014798e+002,6.760694e+001
7.019619e+002,6.767393e+001
7.024440e+002,6.774509e+001
7.029261e+002,6.781422e+001
7.034083e+002,6.787664e+001
7.038904e+002,6.793136e+001
7.043725e+002,6.798106e+001
7.048546e+002,6.803027e+001
7.053367e+002,6.808234e+001
7.058188e+002,6.813777e+001
7.063010e+002,6.819378e+001
7.067831e+002,6.824648e+001
7.072652e+002,6.829301e+001
7.077473e+002,6.833381e+001
7.082294e+002,6.837246e+001
7.087115e+002,6.841431e+001
7.091937e+002,6.846367e+001
7.096758e+002,6.852199e+001
7.101579e+002,6.858772e+001
7.106400e+002,6.865784e+001
7.111221e+002,6.872993e+001
7.116042e+002,6.880380e+001
7.120864e+002,6.888136e+001
7.125685e+002,6.896507e+001
7.130506e+002,6.905581e+001
7.135327e+002,6.915165e+001
7.140148e+002,6.924792e+001
7.144969e+002,6.933923e+001
7.149791e+002,6.942213e+001
7.154612e+002,6.949655e+001
7.159433e+002,6.956576e+001
7.164254e+002,6.963434e+001
7.169075e+002,6.970606e+001
7.173896e+002,6.978206e+001
7.178718e+002,6.986069e+001
7.183539e+002,6.993916e+001
7.188360e+002,7.001570e+001
7.193181e+002,7.009123e+001
7.198002e+002,7.016915e+001
7.202823e+002,7.025349e+001
7.207645e+002,7.034616e+001
7.212466e+002,7.044532e+001
7.217287e+002,7.054544e+001
7.222108e+002,7.063967e+001
7.226929e+002,7.072189e+001
7.231750e+002,7.078945e+001
7.236572e+002,7.084340e+001
7.241393e+002,7.088741e+001
7.246214e+002,7.092554e+001
7.251035e+002,7.096066e+001
7.255856e+002,7.099368e+001
7.260677e+002,7.102427e+001
7.265499e+002,7.105206e+001
7.270320e+002,7.107790e+001
7.275141e+002,7.110365e+001
7.279962e+002,7.113152e+001
7.284783e+002,7.116257e+001
7.289604e+002,7.119605e+001
7.294426e+002,7.122978e+001
7.299247e+002,7.126147e+001
7.304068e+002,7.129033e+001
7.308889e+002,7.131763e+001
7.313710e+002,7.134606e+001
7.318531e+002,7.137791e+001
7.323353e+002,7.141339e+001
7.328174e+002,7.144995e+001
7.332995e+002,7.148322e+001
7.337816e+002,7.150890e+001
7.342637e+002,7.152526e+001
7.347458e+002,7.153395e+001
7.352280e+002,7.153970e+001
7.357101e+002,7.154785e+001
7.361922e+002,7.156190e+001
7.366743e+002,7.158226e+001
7.371564e+002,7.160631e+001
7.376385e+002,7.163028e+001
7.381207e+002,7.165136e+001
7.386028e+002,7.166919e+001
7.390849e+002,7.168564e+001
7.395670e+002,7.170322e+001
7.400491e+002,7.172295e+001
7.405313e+002,7.174341e+001
7.410134e+002,7.176085e+001
7.414955e+002,7.177142e+001
7.419776e+002,7.177299e+001
7.424597e+002,7.176646e+001
7.429418e+002,7.175533e+001
7.434240e+002,7.174426e+001
7.439061e+002,7.173666e+001
7.443882e+002,7.173348e+001
7.448703e+002,7.173348e+001
7.453524e+002,7.173485e+001
7.458345e+002,7.173698e+001
7.463167e+002,7.174155e+001
7.467988e+002,7.175169e+001
7.472809e+002,7.177016e+001
7.477630e+002,7.179736e+001
7.482451e+002,7.183044e+001
7.487272e+002,7.186430e+001
7.492094e+002,7.189355e+001
7.496915e+002,7.191527e+001
7.501736e+002,7.193021e+001
7.506557e+002,7.194235e+001
7.511378e+002,7.195645e+001
7.516199e+002,7.197559e+001
7.521021e+002,7.199950e+001
7.525842e+002,7.202501e+001
7.530663e+002,7.204774e+001
7.535484e+002,7.206470e+001
7.540305e+002,7.207594e+001
7.545126e+002,7.208441e+001
7.549948e+002,7.209435e+001
7.554769e+002,7.210847e+001
7.559590e+002,7.212670e+001
7.564411e+002,7.214604e+001
7.569232e+002,7.216234e+001
7.574053e+002,7.217237e+001
7.578875e+002,7.217545e+001
7.583696e+002,7.217364e+001
7.588517e+002,7.217028e+001
7.593338e+002,7.216805e+001
7.598159e+002,7.216742e+001
7.602980e+002,7.216676e+001
7.607802e+002,7.216380e+001
7.612623e+002,7.215742e+001
7.617444e+002,7.214886e+001
7.622265e+002,7.214142e+001
7.627086e+002,7.213875e+001
7.631907e+002,7.214318e+001
7.636729e+002,7.215420e+001
7.641550e+002,7.216888e+001
7.646371e+002,7.218327e+001
7.651192e+002,7.219480e+001
7.656013e+002,7.220341e+001
7.660834e+002,7.221162e+001
7.665656e+002,7.222286e+001
7.670477e+002,7.223983e+001
7.675298e+002,7.226294e+001
7.680119e+002,7.229057e+001
7.684940e+002,7.232014e+001
7.689761e+002,7.234987e+001
7.694583e+002,7.237989e+001
7.699404e+002,7.241196e+001
7.704225e+002,7.244821e+001
7.709046e+002,7.248957e+001
7.713867e+002,7.253493e+001
7.718688e+002,7.258160e+001
7.723510e+002,7.262705e+001
7.728331e+002,7.267011e+001
7.733152e+002,7.271211e+001
7.737973e+002,7.275604e+001
7.742794e+002,7.280526e+001
7.747615e+002,7.286150e+001
7.752437e+002,7.292415e+001
7.757258e+002,7.299076e+001
7.762079e+002,7.305885e+001
7.766900e+002,7.312753e+001
7.771721e+002,7.319836e+001
7.776542e+002,7.327463e+001
7.781364e+002,7.335967e+001
7.786185e+002,7.345499e+001
7.791006e+002,7.355953e+001
7.795827e+002,7.367018e+001
7.800648e+002,7.378370e+001
7.805469e+002,7.389857e+001
7.810291e+002,7.401608e+001
7.815112e+002,7.413956e+001
7.819933e+002,7.427248e+001
7.824754e+002,7.441679e+001
7.829575e+002,7.457145e+001
7.834396e+002,7.473339e+001
7.839218e+002,7.489863e+001
7.844039e+002,7.506448e+001
7.848860e+002,7.523036e+001
7.853681e+002,7.539753e+001
7.858502e+002,7.556737e+001
7.863323e+002,7.573977e+001
7.868145e+002,7.591219e+001
7.872966e+002,7.608035e+001
7.877787e+002,7.624003e+001
7.882608e+002,7.638857e+001
7.887429e+002,7.652614e+001
7.892250e+002,7.665522e+001
7.897072e+002,7.677901e+001
7.901893e+002,7.689935e+001
7.906714e+002,7.701581e+001
7.911535e+002,7.712580e+001
7.916356e+002,7.722632e+001
7.921177e+002,7.731559e+001
7.925999e+002,7.739419e+001
7.930820e+002,7.746459e+001
7.935641e+002,7.752982e+001
7.940462e+002,7.759177e+001
7.945283e+002,7.764990e+001
7.950104e+002,7.770181e+001
7.954926e+002,7.774464e+001
7.959747e+002,7.777703e+001
7.964568e+002,7.780005e+001
7.969389e+002,7.781696e+001
7.974210e+002,7.783141e+001
7.979031e+002,7.784573e+001
7.983853e+002,7.785967e+001
7.988674e+002,7.787073e+001
7.993495e+002,7.787537e+001
7.998316e+002,7.787131e+001
8.003137e+002,7.785853e+001
8.007958e+002,7.783915e+001
8.012780e+002,7.781608e+001
8.017601e+002,7.779099e+001
8.022422e+002,7.776374e+001
8.027243e+002,7.773228e+001
8.032064e+002,7.769447e+001
8.036885e+002,7.764956e+001
8.041707e+002,7.759924e+001
8.046528e+002,7.754714e+001
8.051349e+002,7.749725e+001
8.056170e+002,7.745164e+001
8.060991e+002,7.740959e+001
8.065812e+002,7.736775e+001
8.070634e+002,7.732235e+001
8.075455e+002,7.727082e+001
8.080276e+002,7.721335e+001
8.085097e+002,7.715244e+001
8.089918e+002,7.709159e+001
8.094739e+002,7.703316e+001
8.099561e+002,7.697711e+001
8.104382e+002,7.692127e+001
8.109203e+002,7.686293e+001
8.114024e+002,7.680074e+001
8.118845e+002,7.673594e+001
8.123666e+002,7.667206e+001
8.128488e+002,7.661310e+001
8.133309e+002,7.656183e+001
8.138130e+002,7.651811e+001
8.142951e+002,7.647932e+001
8.147772e+002,7.644154e+001
8.152593e+002,7.640201e+001
8.157415e+002,7.636053e+001
8.162236e+002,7.631960e+001
8.167057e+002,7.628313e+001
8.171878e+002,7.625468e+001
8.176699e+002,7.623611e+001
8.181520e+002,7.622707e+001
8.186342e+002,7.622612e+001
8.191163e+002,7.623196e+001
8.195984e+002,7.624450e+001
8.200805e+002,7.626487e+001
8.205626e+002,7.629434e+001
8.210447e+002,7.633279e+001
8.215269e+002,7.637784e+001
8.220090e+002,7.642467e+001
8.224911e+002,7.646777e+001
8.229732e+002,7.650152e+001
8.234553e+002,7.652190e+001
8.239374e+002,7.652678e+001
8.244196e+002,7.651516e+001
8.249017e+002,7.648648e+001
8.253838e+002,7.644011e+001
8.258659e+002,7.637521e+001
8.263480e+002,7.629142e+001
8.268301e+002,7.618939e+001
8.273123e+002,7.607117e+001
8.277944e+002,7.593986e+001
8.282765e+002,7.579916e+001
8.287586e+002,7.565362e+001
8.292407e+002,7.550900e+001
8.297228e+002,7.537348e+001
8.302050e+002,7.525952e+001
8.306871e+002,7.518260e+001
8.311692e+002,7.516019e+001
8.316513e+002,7.520874e+001
8.321334e+002,7.533829e+001
8.326155e+002,7.555042e+001
8.330977e+002,7.583665e+001
8.335798e+002,7.618148e+001
8.340619e+002,7.656463e+001
8.345440e+002,7.696513e+001
8.350261e+002,7.736583e+001
8.355082e+002,7.775252e+001
8.359904e+002,7.811450e+001
8.364725e+002,7.844444e+001
8.369546e+002,7.873656e+001
8.374367e+002,7.898749e+001
8.379188e+002,7.919664e+001
8.384009e+002,7.936658e+001
8.388831e+002,7.950281e+001
8.393652e+002,7.961201e+001
8.398473e+002,7.970109e+001
8.403294e+002,7.977477e+001
8.408115e+002,7.983515e+001
8.412936e+002,7.988237e+001
8.417758e+002,7.991604e+001
8.422579e+002,7.993669e+001
8.427400e+002,7.994670e+001
8.432221e+002,7.994973e+001
8.437042e+002,7.994945e+001
8.441863e+002,7.994848e+001
8.446685e+002,7.994741e+001
8.451506e+002,7.994550e+001
8.456327e+002,7.994179e+001
8.461148e+002,7.993633e+001
8.465969e+002,7.993080e+001
8.470790e+002,7.992767e+001
8.475612e+002,7.992879e+001
8.480433e+002,7.993437e+001
8.485254e+002,7.994229e+001
8.490075e+002,7.994946e+001
8.494896e+002,7.995314e+001
8.499717e+002,7.995291e+001
8.504539e+002,7.995103e+001
8.509360e+002,7.995206e+001
8.514181e+002,7.996078e+001
8.519002e+002,7.997994e+001
8.523823e+002,8.000932e+001
8.528644e+002,8.004543e+001
8.533466e+002,8.008295e+001
8.538287e+002,8.011583e+001
8.543108e+002,8.013893e+001
8.547929e+002,8.014867e+001
8.552750e+002,8.014243e+001
8.557571e+002,8.011876e+001
8.562393e+002,8.007710e+001
8.567214e+002,8.001841e+001
8.572035e+002,7.994558e+001
8.576856e+002,7.986365e+001
8.581677e+002,7.977943e+001
8.586498e+002,7.969923e+001
8.591320e+002,7.962749e+001
8.596141e+002,7.956536e+001
8.600962e+002,7.951079e+001
8.605783e+002,7.945979e+001
8.610604e+002,7.940867e+001
8.615425e+002,7.935577e+001
8.620247e+002,7.930173e+001
8.625068e+002,7.924871e+001
8.629889e+002,7.919830e+001
8.634710e+002,7.915034e+001
8.639531e+002,7.910244e+001
8.644352e+002,7.905158e+001
8.649174e+002,7.899580e+001
8.653995e+002,7.893637e+001
8.658816e+002,7.887771e+001
8.663637e+002,7.882659e+001
8.668458e+002,7.878896e+001
8.673279e+002,7.876771e+001
8.678101e+002,7.876151e+001
8.682922e+002,7.876562e+001
8.687743e+002,7.877417e+001
8.692564e+002,7.878246e+001
8.697385e+002,7.878902e+001
8.702206e+002,7.879552e+001
8.707028e+002,7.880565e+001
8.711849e+002,7.882286e+001
8.716670e+002,7.884902e+001
8.721491e+002,7.888400e+001
8.726312e+002,7.892632e+001
8.731133e+002,7.897389e+001
8.735955e+002,7.902493e+001
8.740776e+002,7.907800e+001
8.745597e+002,7.913116e+001
8.750418e+002,7.918170e+001
8.755239e+002,7.922648e+001
8.760060e+002,7.926260e+001
8.764882e+002,7.928893e+001
8.769703e+002,7.930687e+001
8.774524e+002,7.932027e+001
8.779345e+002,7.933392e+001
8.784166e+002,7.935131e+001
8.788987e+002,7.937334e+001
