long_onda,abs
6.002353e+002,5.007058e-001
6.007174e+002,5.001660e-001
6.011995e+002,4.994679e-001
6.016816e+002,4.984984e-001
6.021638e+002,4.973404e-001
6.026459e+002,4.962227e-001
6.031280e+002,4.953755e-001
6.036101e+002,4.948994e-001
6.040922e+002,4.947130e-001
6.045743e+002,4.945936e-001
6.050565e+002,4.943048e-001
6.055386e+002,4.937145e-001
6.060207e+002,4.928735e-001
6.065028e+002,4.919687e-001
6.069849e+002,4.912146e-001
6.074670e+002,4.907185e-001
6.079492e+002,4.904356e-001
6.084313e+002,4.901986e-001
6.089134e+002,4.898380e-001
6.093955e+002,4.892823e-001
6.098776e+002,4.886128e-001
6.103597e+002,4.880067e-001
6.108419e+002,4.876360e-001
6.113240e+002,4.875503e-001
6.118061e+002,4.876428e-001
6.122882e+002,4.876916e-001
6.127703e+002,4.874830e-001
6.132524e+002,4.869338e-001
6.137346e+002,4.861276e-001
6.142167e+002,4.852658e-001
6.146988e+002,4.845387e-001
6.151809e+002,4.840313e-001
6.156630e+002,4.836680e-001
6.161451e+002,4.832740e-001
6.166273e+002,4.826728e-001
6.171094e+002,4.818128e-001
6.175915e+002,4.807988e-001
6.180736e+002,4.798374e-001
6.185557e+002,4.791010e-001
6.190378e+002,4.786314e-001
6.195200e+002,4.783128e-001
6.200021e+002,4.779460e-001
6.204842e+002,4.773562e-001
6.209663e+002,4.764926e-001
6.214484e+002,4.754540e-001
6.219305e+002,4.744283e-001
6.224127e+002,4.735847e-001
6.228948e+002,4.729721e-001
6.233769e+002,4.725027e-001
6.238590e+002,4.720007e-001
6.243411e+002,4.713192e-001
6.248232e+002,4.704160e-001
6.253054e+002,4.693884e-001
6.257875e+002,4.683977e-001
6.262696e+002,4.675846e-001
6.267517e+002,4.669703e-001
6.272338e+002,4.664489e-001
6.277159e+002,4.658384e-001
6.281981e+002,4.649853e-001
6.286802e+002,4.638495e-001
6.291623e+002,4.625208e-001
6.296444e+002,4.611645e-001
6.301265e+002,4.599223e-001
6.306086e+002,4.588439e-001
6.310908e+002,4.578573e-001
6.315729e+002,4.568213e-001
6.320550e+002,4.556029e-001
6.325371e+002,4.541630e-001
6.330192e+002,4.525717e-001
6.335013e+002,4.509713e-001
6.339835e+002,4.494848e-001
6.344656e+002,4.481552e-001
6.349477e+002,4.469261e-001
6.354298e+002,4.456888e-001
6.359119e+002,4.443529e-001
6.363940e+002,4.429116e-001
6.368762e+002,4.414471e-001
6.373583e+002,4.400848e-001
6.378404e+002,4.389145e-001
6.383225e+002,4.379314e-001
6.388046e+002,4.370334e-001
6.392867e+002,4.360698e-001
6.397689e+002,4.349294e-001
6.402510e+002,4.335894e-001
6.407331e+002,4.321340e-001
6.412152e+002,4.306929e-001
6.416973e+002,4.293767e-001
6.421794e+002,4.282079e-001
6.426616e+002,4.271210e-001
6.431437e+002,4.259996e-001
6.436258e+002,4.247546e-001
6.441079e+002,4.233758e-001
6.445900e+002,4.219387e-001
6.450721e+002,4.205558e-001
6.455543e+002,4.193083e-001
6.460364e+002,4.182003e-001
6.465185e+002,4.171541e-001
6.470006e+002,4.160578e-001
6.474827e+002,4.148298e-001
6.479648e+002,4.134772e-001
6.484470e+002,4.120977e-001
6.489291e+002,4.108325e-001
6.494112e+002,4.097842e-001
6.498933e+002,4.089709e-001
6.503754e+002,4.083126e-001
6.508575e+002,4.076857e-001
6.513397e+002,4.069766e-001
6.518218e+002,4.061439e-001
6.523039e+002,4.052267e-001
6.527860e+002,4.043101e-001
6.532681e+002,4.034662e-001
6.537502e+002,4.027086e-001
6.542324e+002,4.019929e-001
6.547145e+002,4.012492e-001
6.551966e+002,4.004389e-001
6.556787e+002,3.995855e-001
6.561608e+002,3.987719e-001
6.566429e+002,3.980908e-001
6.571251e+002,3.975952e-001
6.576072e+002,3.972578e-001
6.580893e+002,3.969837e-001
6.585714e+002,3.966496e-001
6.590535e+002,3.961740e-001
6.595356e+002,3.955517e-001
6.600178e+002,3.948530e-001
6.604999e+002,3.941734e-001
6.609820e+002,3.935802e-001
6.614641e+002,3.930786e-001
6.619462e+002,3.926207e-001
6.624283e+002,3.921469e-001
6.629105e+002,3.916393e-001
6.633926e+002,3.911427e-001
6.638747e+002,3.907483e-001
6.643568e+002,3.905379e-001
6.648389e+002,3.905298e-001
6.653210e+002,3.906465e-001
6.658032e+002,3.906992e-001
6.662853e+002,3.904150e-001
6.667674e+002,3.894677e-001
6.672495e+002,3.876554e-001
6.677316e+002,3.851465e-001
6.682137e+002,3.826167e-001
6.686959e+002,3.808466e-001
6.691780e+002,3.801380e-001
6.696601e+002,3.802462e-001
6.701422e+002,3.807283e-001
6.706243e+002,3.812374e-001
6.711064e+002,3.815799e-001
6.715886e+002,3.817063e-001
6.720707e+002,3.816460e-001
6.725528e+002,3.814581e-001
6.730349e+002,3.811885e-001
6.735170e+002,3.808525e-001
6.739991e+002,3.804377e-001
6.744813e+002,3.799310e-001
6.749634e+002,3.793451e-001
6.754455e+002,3.787291e-001
6.759276e+002,3.781449e-001
6.764097e+002,3.776408e-001
6.768918e+002,3.772192e-001
6.773740e+002,3.768365e-001
6.778561e+002,3.764253e-001
6.783382e+002,3.759355e-001
6.788203e+002,3.753664e-001
6.793024e+002,3.747691e-001
6.797845e+002,3.742178e-001
6.802667e+002,3.737651e-001
6.807488e+002,3.734143e-001
6.812309e+002,3.731126e-001
6.817130e+002,3.727854e-001
6.821951e+002,3.723736e-001
6.826772e+002,3.718737e-001
6.831594e+002,3.713369e-001
6.836415e+002,3.708467e-001
6.841236e+002,3.704689e-001
6.846057e+002,3.702193e-001
6.850878e+002,3.700569e-001
6.855699e+002,3.699102e-001
6.860521e+002,3.697161e-001
6.865342e+002,3.694533e-001
6.870163e+002,3.691486e-001
6.874984e+002,3.688566e-001
6.879805e+002,3.686233e-001
6.884626e+002,3.684567e-001
6.889448e+002,3.683231e-001
6.894269e+002,3.681717e-001
6.899090e+002,3.679716e-001
6.903911e+002,3.677346e-001
6.908732e+002,3.675165e-001
6.913553e+002,3.673837e-001
6.918375e+002,3.673835e-001
6.923196e+002,3.675128e-001
6.928017e+002,3.677221e-001
6.932838e+002,3.679366e-001
6.937659e+002,3.680981e-001
6.942480e+002,3.681910e-001
6.947302e+002,3.682416e-001
6.952123e+002,3.682930e-001
6.956944e+002,3.683704e-001
6.961765e+002,3.684559e-001
6.966586e+002,3.684927e-001
6.971407e+002,3.684120e-001
6.976229e+002,3.681669e-001
6.981050e+002,3.677618e-001
6.985871e+002,3.672465e-001
6.990692e+002,3.666923e-001
6.995513e+002,3.661479e-001
7.000334e+002,3.656186e-001
7.005156e+002,3.650627e-001
7.009977e+002,3.644220e-001
7.014798e+002,3.636517e-001
7.019619e+002,3.627505e-001
7.024440e+002,3.617569e-001
7.029261e+002,3.607296e-001
7.034083e+002,3.597124e-001
7.038904e+002,3.587090e-001
7.043725e+002,3.576828e-001
7.048546e+002,3.565792e-001
7.053367e+002,3.553619e-001
7.058188e+002,3.540329e-001
7.063010e+002,3.526369e-001
7.067831e+002,3.512354e-001
7.072652e+002,3.498812e-001
7.077473e+002,3.485910e-001
7.082294e+002,3.473448e-001
7.087115e+002,3.461023e-001
7.091937e+002,3.448331e-001
7.096758e+002,3.435349e-001
7.101579e+002,3.422363e-001
7.106400e+002,3.409766e-001
7.111221e+002,3.397825e-001
7.116042e+002,3.386504e-001
7.120864e+002,3.375471e-001
7.125685e+002,3.364300e-001
7.130506e+002,3.352707e-001
7.135327e+002,3.340732e-001
7.140148e+002,3.328715e-001
7.144969e+002,3.317105e-001
7.149791e+002,3.306165e-001
7.154612e+002,3.295839e-001
7.159433e+002,3.285749e-001
7.164254e+002,3.275433e-001
7.169075e+002,3.264577e-001
7.173896e+002,3.253223e-001
7.178718e+002,3.241739e-001
7.183539e+002,3.230675e-001
7.188360e+002,3.220487e-001
7.193181e+002,3.211333e-001
7.198002e+002,3.203053e-001
7.202823e+002,3.195306e-001
7.207645e+002,3.187817e-001
7.212466e+002,3.180501e-001
7.217287e+002,3.173490e-001
7.222108e+002,3.166957e-001
7.226929e+002,3.160954e-001
7.231750e+002,3.155293e-001
7.236572e+002,3.149638e-001
7.241393e+002,3.143662e-001
7.246214e+002,3.137276e-001
7.251035e+002,3.130710e-001
7.255856e+002,3.124434e-001
7.260677e+002,3.118885e-001
7.265499e+002,3.114241e-001
7.270320e+002,3.110277e-001
7.275141e+002,3.106476e-001
7.279962e+002,3.102241e-001
7.284783e+002,3.097204e-001
7.289604e+002,3.091398e-001
7.294426e+002,3.085212e-001
7.299247e+002,3.079168e-001
7.304068e+002,3.073609e-001
7.308889e+002,3.068563e-001
7.313710e+002,3.063754e-001
7.318531e+002,3.058827e-001
7.323353e+002,3.053572e-001
7.328174e+002,3.048111e-001
7.332995e+002,3.042813e-001
7.337816e+002,3.038127e-001
7.342637e+002,3.034269e-001
7.347458e+002,3.031092e-001
7.352280e+002,3.028096e-001
7.357101e+002,3.024682e-001
7.361922e+002,3.020425e-001
7.366743e+002,3.015263e-001
7.371564e+002,3.009491e-001
7.376385e+002,3.003566e-001
7.381207e+002,2.997865e-001
7.386028e+002,2.992482e-001
7.390849e+002,2.987236e-001
7.395670e+002,2.981822e-001
7.400491e+002,2.976061e-001
7.405313e+002,2.970036e-001
7.410134e+002,2.964093e-001
7.414955e+002,2.958638e-001
7.419776e+002,2.953940e-001
7.424597e+002,2.949978e-001
7.429418e+002,2.946470e-001
7.434240e+002,2.943027e-001
7.439061e+002,2.939386e-001
7.443882e+002,2.935558e-001
7.448703e+002,2.931790e-001
7.453524e+002,2.928409e-001
7.458345e+002,2.925590e-001
7.463167e+002,2.923240e-001
7.467988e+002,2.921032e-001
7.472809e+002,2.918586e-001
7.477630e+002,2.915668e-001
7.482451e+002,2.912336e-001
7.487272e+002,2.908890e-001
7.492094e+002,2.905716e-001
7.496915e+002,2.903054e-001
7.501736e+002,2.900871e-001
7.506557e+002,2.898896e-001
7.511378e+002,2.896806e-001
7.516199e+002,2.894421e-001
7.521021e+002,2.891838e-001
7.525842e+002,2.889374e-001
7.530663e+002,2.887411e-001
7.535484e+002,2.886190e-001
7.540305e+002,2.885676e-001
7.545126e+002,2.885610e-001
7.549948e+002,2.885675e-001
7.554769e+002,2.885709e-001
7.559590e+002,2.885810e-001
7.564411e+002,2.886291e-001
7.569232e+002,2.887489e-001
7.574053e+002,2.889581e-001
7.578875e+002,2.892475e-001
7.583696e+002,2.895883e-001
7.588517e+002,2.899479e-001
7.593338e+002,2.903139e-001
7.598159e+002,2.907028e-001
7.602980e+002,2.911556e-001
7.607802e+002,2.917153e-001
7.612623e+002,2.924036e-001
7.617444e+002,2.932102e-001
7.622265e+002,2.940965e-001
7.627086e+002,2.950183e-001
7.631907e+002,2.959457e-001
7.636729e+002,2.968808e-001
7.641550e+002,2.978519e-001
7.646371e+002,2.988973e-001
7.651192e+002,3.000390e-001
7.656013e+002,3.012713e-001
7.660834e+002,3.025624e-001
7.665656e+002,3.038742e-001
7.670477e+002,3.051819e-001
7.675298e+002,3.064879e-001
7.680119e+002,3.078158e-001
7.684940e+002,3.091932e-001
7.689761e+002,3.106279e-001
7.694583e+002,3.120976e-001
7.699404e+002,3.135529e-001
7.704225e+002,3.149385e-001
7.709046e+002,3.162196e-001
