long_onda,abs
6.002353e+002,3.157143e+001
6.007174e+002,3.161069e+001
6.011995e+002,3.166154e+001
6.016816e+002,3.173230e+001
6.021638e+002,3.181702e+001
6.026459e+002,3.189901e+001
6.031280e+002,3.196131e+001
6.036101e+002,3.199636e+001
6.040922e+002,3.201010e+001
6.045743e+002,3.201890e+001
6.050565e+002,3.204020e+001
6.055386e+002,3.208378e+001
6.060207e+002,3.214597e+001
6.065028e+002,3.221301e+001
6.069849e+002,3.226899e+001
6.074670e+002,3.230587e+001
6.079492e+002,3.232692e+001
6.084313e+002,3.234457e+001
6.089134e+002,3.237144e+001
6.093955e+002,3.241288e+001
6.098776e+002,3.246289e+001
6.103597e+002,3.250823e+001
6.108419e+002,3.253599e+001
6.113240e+002,3.254241e+001
6.118061e+002,3.253548e+001
6.122882e+002,3.253182e+001
6.127703e+002,3.254745e+001
6.132524e+002,3.258863e+001
6.137346e+002,3.264919e+001
6.142167e+002,3.271404e+001
6.146988e+002,3.276886e+001
6.151809e+002,3.280717e+001
6.156630e+002,3.283462e+001
6.161451e+002,3.286442e+001
6.166273e+002,3.290995e+001
6.171094e+002,3.297518e+001
6.175915e+002,3.305226e+001
6.180736e+002,3.312551e+001
6.185557e+002,3.318172e+001
6.190378e+002,3.321763e+001
6.195200e+002,3.324200e+001
6.200021e+002,3.327010e+001
6.204842e+002,3.331531e+001
6.209663e+002,3.338162e+001
6.214484e+002,3.346155e+001
6.219305e+002,3.354067e+001
6.224127e+002,3.360588e+001
6.228948e+002,3.365332e+001
6.233769e+002,3.368971e+001
6.238590e+002,3.372868e+001
6.243411e+002,3.378164e+001
6.248232e+002,3.385197e+001
6.253054e+002,3.393217e+001
6.257875e+002,3.400966e+001
6.262696e+002,3.407339e+001
6.267517e+002,3.412163e+001
6.272338e+002,3.416261e+001
6.277159e+002,3.421067e+001
6.281981e+002,3.427794e+001
6.286802e+002,3.436770e+001
6.291623e+002,3.447301e+001
6.296444e+002,3.458084e+001
6.301265e+002,3.467989e+001
6.306086e+002,3.476611e+001
6.310908e+002,3.484518e+001
6.315729e+002,3.492840e+001
6.320550e+002,3.502653e+001
6.325371e+002,3.514285e+001
6.330192e+002,3.527185e+001
6.335013e+002,3.540207e+001
6.339835e+002,3.552346e+001
6.344656e+002,3.563238e+001
6.349477e+002,3.573337e+001
6.354298e+002,3.583531e+001
6.359119e+002,3.594571e+001
6.363940e+002,3.606520e+001
6.368762e+002,3.618702e+001
6.373583e+002,3.630072e+001
6.378404e+002,3.639867e+001
6.383225e+002,3.648116e+001
6.388046e+002,3.655666e+001
6.392867e+002,3.663787e+001
6.397689e+002,3.673420e+001
6.402510e+002,3.684772e+001
6.407331e+002,3.697141e+001
6.412152e+002,3.709430e+001
6.416973e+002,3.720689e+001
6.421794e+002,3.730716e+001
6.426616e+002,3.740063e+001
6.431437e+002,3.749734e+001
6.436258e+002,3.760498e+001
6.441079e+002,3.772456e+001
6.445900e+002,3.784960e+001
6.450721e+002,3.797032e+001
6.455543e+002,3.807954e+001
6.460364e+002,3.817682e+001
6.465185e+002,3.826889e+001
6.470006e+002,3.836562e+001
6.474827e+002,3.847425e+001
6.479648e+002,3.859426e+001
6.484470e+002,3.871706e+001
6.489291e+002,3.883001e+001
6.494112e+002,3.892385e+001
6.498933e+002,3.899681e+001
6.503754e+002,3.905597e+001
6.508575e+002,3.911238e+001
6.513397e+002,3.917630e+001
6.518218e+002,3.925149e+001
6.523039e+002,3.933447e+001
6.527860e+002,3.941757e+001
6.532681e+002,3.949425e+001
6.537502e+002,3.956320e+001
6.542324e+002,3.962845e+001
6.547145e+002,3.969637e+001
6.551966e+002,3.977051e+001
6.556787e+002,3.984874e+001
6.561608e+002,3.992346e+001
6.566429e+002,3.998611e+001
6.571251e+002,4.003177e+001
6.576072e+002,4.006288e+001
6.580893e+002,4.008817e+001
6.585714e+002,4.011903e+001
6.590535e+002,4.016299e+001
6.595356e+002,4.022057e+001
6.600178e+002,4.028534e+001
