long_onda,abs
6.002353e+002,3.274837e+001
6.007174e+002,3.278890e+001
6.011995e+002,3.284179e+001
6.016816e+002,3.291131e+001
6.021638e+002,3.299052e+001
6.026459e+002,3.306537e+001
6.031280e+002,3.312445e+001
6.036101e+002,3.316521e+001
6.040922e+002,3.319565e+001
6.045743e+002,3.322911e+001
6.050565e+002,3.327613e+001
6.055386e+002,3.333813e+001
6.060207e+002,3.340624e+001
6.065028e+002,3.346646e+001
6.069849e+002,3.350761e+001
6.074670e+002,3.352837e+001
6.079492e+002,3.353752e+001
6.084313e+002,3.354932e+001
6.089134e+002,3.357436e+001
6.093955e+002,3.361390e+001
6.098776e+002,3.365878e+001
6.103597e+002,3.369595e+001
6.108419e+002,3.371576e+001
6.113240e+002,3.371866e+001
6.118061e+002,3.371487e+001
6.122882e+002,3.371900e+001
6.127703e+002,3.374089e+001
6.132524e+002,3.377931e+001
6.137346e+002,3.382200e+001
6.142167e+002,3.385202e+001
6.146988e+002,3.385790e+001
6.151809e+002,3.383893e+001
6.156630e+002,3.380644e+001
6.161451e+002,3.377689e+001
6.166273e+002,3.376383e+001
6.171094e+002,3.376896e+001
6.175915e+002,3.378231e+001
6.180736e+002,3.378775e+001
6.185557e+002,3.377381e+001
6.190378e+002,3.374028e+001
6.195200e+002,3.369855e+001
6.200021e+002,3.366485e+001
6.204842e+002,3.365208e+001
6.209663e+002,3.366317e+001
6.214484e+002,3.369039e+001
6.219305e+002,3.372076e+001
6.224127e+002,3.374375e+001
6.228948e+002,3.375736e+001
6.233769e+002,3.376820e+001
6.238590e+002,3.378656e+001
6.243411e+002,3.381875e+001
6.248232e+002,3.386299e+001
6.253054e+002,3.390936e+001
6.257875e+002,3.394653e+001
6.262696e+002,3.396822e+001
6.267517e+002,3.397830e+001
6.272338e+002,3.398861e+001
6.277159e+002,3.401399e+001
6.281981e+002,3.406346e+001
6.286802e+002,3.413575e+001
6.291623e+002,3.421994e+001
6.296444e+002,3.430173e+001
6.301265e+002,3.437117e+001
6.306086e+002,3.442706e+001
6.310908e+002,3.447686e+001
6.315729e+002,3.453117e+001
6.320550e+002,3.459694e+001
6.325371e+002,3.467226e+001
6.330192e+002,3.474704e+001
6.335013e+002,3.480803e+001
6.339835e+002,3.484722e+001
6.344656e+002,3.486610e+001
6.349477e+002,3.487624e+001
6.354298e+002,3.489281e+001
6.359119e+002,3.492815e+001
6.363940e+002,3.498592e+001
6.368762e+002,3.506064e+001
6.373583e+002,3.514230e+001
6.378404e+002,3.522322e+001
6.383225e+002,3.530252e+001
6.388046e+002,3.538586e+001
6.392867e+002,3.548095e+001
6.397689e+002,3.559132e+001
6.402510e+002,3.571307e+001
6.407331e+002,3.583575e+001
6.412152e+002,3.594858e+001
6.416973e+002,3.604576e+001
6.421794e+002,3.613075e+001
6.426616e+002,3.621410e+001
6.431437e+002,3.630872e+001
6.436258e+002,3.642200e+001
6.441079e+002,3.655225e+001
6.445900e+002,3.668913e+001
6.450721e+002,3.682006e+001
6.455543e+002,3.693675e+001
6.460364e+002,3.703923e+001
6.465185e+002,3.713520e+001
6.470006e+002,3.723513e+001
6.474827e+002,3.734551e+001
6.479648e+002,3.746432e+001
6.484470e+002,3.758146e+001
6.489291e+002,3.768381e+001
6.494112e+002,3.776292e+001
6.498933e+002,3.781895e+001
6.503754e+002,3.786092e+001
6.508575e+002,3.790102e+001
6.513397e+002,3.794924e+001
6.518218e+002,3.800782e+001
6.523039e+002,3.807129e+001
6.527860e+002,3.812995e+001
6.532681e+002,3.817601e+001
6.537502e+002,3.820778e+001
6.542324e+002,3.822998e+001
6.547145e+002,3.825052e+001
6.551966e+002,3.827536e+001
6.556787e+002,3.830557e+001
6.561608e+002,3.833705e+001
6.566429e+002,3.836408e+001
6.571251e+002,3.838331e+001
6.576072e+002,3.839675e+001
6.580893e+002,3.841055e+001
6.585714e+002,3.843187e+001
6.590535e+002,3.846386e+001
6.595356e+002,3.850378e+001
6.600178e+002,3.854409e+001
6.604999e+002,3.857766e+001
6.609820e+002,3.860177e+001
6.614641e+002,3.862056e+001
6.619462e+002,3.864253e+001
6.624283e+002,3.867608e+001
6.629105e+002,3.872369e+001
6.633926e+002,3.877989e+001
6.638747e+002,3.883289e+001
6.643568e+002,3.887006e+001
6.648389e+002,3.888393e+001
6.653210e+002,3.887415e+001
6.658032e+002,3.884909e+001
6.662853e+002,3.882420e+001
6.667674e+002,3.882259e+001
6.672495e+002,3.886850e+001
6.677316e+002,3.897463e+001
6.682137e+002,3.912790e+001
6.686959e+002,3.929344e+001
6.691780e+002,3.944124e+001
6.696601e+002,3.956257e+001
6.701422e+002,3.966435e+001
6.706243e+002,3.975574e+001
6.711064e+002,3.984166e+001
6.715886e+002,3.992219e+001
6.720707e+002,3.999520e+001
6.725528e+002,4.005944e+001
6.730349e+002,4.011730e+001
6.735170e+002,4.017474e+001
6.739991e+002,4.023899e+001
6.744813e+002,4.031435e+001
6.749634e+002,4.040008e+001
6.754455e+002,4.049044e+001
6.759276e+002,4.057847e+001
6.764097e+002,4.065951e+001
6.768918e+002,4.073439e+001
6.773740e+002,4.080865e+001
6.778561e+002,4.088978e+001
6.783382e+002,4.098250e+001
6.788203e+002,4.108597e+001
6.793024e+002,4.119403e+001
6.797845e+002,4.129843e+001
6.802667e+002,4.139340e+001
6.807488e+002,4.147817e+001
6.812309e+002,4.155722e+001
6.817130e+002,4.163705e+001
6.821951e+002,4.172276e+001
6.826772e+002,4.181482e+001
6.831594e+002,4.190958e+001
6.836415e+002,4.200171e+001
6.841236e+002,4.208811e+001
6.846057e+002,4.217007e+001
6.850878e+002,4.225306e+001
6.855699e+002,4.234349e+001
6.860521e+002,4.244545e+001
6.865342e+002,4.255854e+001
6.870163e+002,4.267834e+001
6.874984e+002,4.279899e+001
6.879805e+002,4.291658e+001
6.884626e+002,4.303114e+001
6.889448e+002,4.314607e+001
6.894269e+002,4.326531e+001
6.899090e+002,4.339001e+001
6.903911e+002,4.351713e+001
6.908732e+002,4.364032e+001
6.913553e+002,4.375351e+001
6.918375e+002,4.385369e+001
6.923196e+002,4.394301e+001
6.928017e+002,4.402731e+001
6.932838e+002,4.411349e+001
6.937659e+002,4.420567e+001
6.942480e+002,4.430330e+001
6.947302e+002,4.440202e+001
6.952123e+002,4.449683e+001
6.956944e+002,4.458541e+001
6.961765e+002,4.466982e+001
6.966586e+002,4.475562e+001
6.971407e+002,4.484872e+001
6.976229e+002,4.495238e+001
6.981050e+002,4.506522e+001
6.985871e+002,4.518240e+001
6.990692e+002,4.529830e+001
6.995513e+002,4.541020e+001
7.000334e+002,4.551966e+001
7.005156e+002,4.563176e+001
7.009977e+002,4.575169e+001
7.014798e+002,4.588198e+001
7.019619e+002,4.602039e+001
7.024440e+002,4.616135e+001
7.029261e+002,4.629830e+001
7.034083e+002,4.642735e+001
7.038904e+002,4.654904e+001
7.043725e+002,4.666767e+001
7.048546e+002,4.678856e+001
7.053367e+002,4.691467e+001
