long_onda,abs
6.002353e+002,8.766004e+001
6.007174e+002,8.770458e+001
6.011995e+002,8.774631e+001
6.016816e+002,8.778716e+001
6.021638e+002,8.783038e+001
6.026459e+002,8.787924e+001
6.031280e+002,8.793533e+001
6.036101e+002,8.799789e+001
6.040922e+002,8.806314e+001
6.045743e+002,8.812601e+001
6.050565e+002,8.818152e+001
6.055386e+002,8.822634e+001
6.060207e+002,8.826001e+001
6.065028e+002,8.828459e+001
6.069849e+002,8.830344e+001
6.074670e+002,8.831995e+001
6.079492e+002,8.833672e+001
6.084313e+002,8.835551e+001
6.089134e+002,8.837738e+001
6.093955e+002,8.840354e+001
6.098776e+002,8.843522e+001
6.103597e+002,8.847305e+001
6.108419e+002,8.851677e+001
6.113240e+002,8.856387e+001
6.118061e+002,8.861060e+001
6.122882e+002,8.865192e+001
6.127703e+002,8.868301e+001
6.132524e+002,8.870136e+001
6.137346e+002,8.870674e+001
6.142167e+002,8.870124e+001
6.146988e+002,8.868791e+001
6.151809e+002,8.866979e+001
6.156630e+002,8.864891e+001
6.161451e+002,8.862632e+001
6.166273e+002,8.860276e+001
6.171094e+002,8.857933e+001
6.175915e+002,8.855793e+001
6.180736e+002,8.854129e+001
6.185557e+002,8.853200e+001
6.190378e+002,8.853196e+001
6.195200e+002,8.854144e+001
6.200021e+002,8.855919e+001
6.204842e+002,8.858217e+001
6.209663e+002,8.860638e+001
6.214484e+002,8.862790e+001
6.219305e+002,8.864352e+001
6.224127e+002,8.865179e+001
6.228948e+002,8.865313e+001
6.233769e+002,8.865009e+001
6.238590e+002,8.864688e+001
6.243411e+002,8.864799e+001
6.248232e+002,8.865764e+001
6.253054e+002,8.867812e+001
6.257875e+002,8.870910e+001
6.262696e+002,8.874794e+001
6.267517e+002,8.879031e+001
6.272338e+002,8.883190e+001
6.277159e+002,8.886919e+001
6.281981e+002,8.890057e+001
6.286802e+002,8.892639e+001
6.291623e+002,8.894837e+001
6.296444e+002,8.896851e+001
6.301265e+002,8.898805e+001
6.306086e+002,8.900728e+001
6.310908e+002,8.902538e+001
6.315729e+002,8.904106e+001
6.320550e+002,8.905345e+001
6.325371e+002,8.906210e+001
6.330192e+002,8.906728e+001
6.335013e+002,8.906950e+001
6.339835e+002,8.906895e+001
6.344656e+002,8.906523e+001
6.349477e+002,8.905770e+001
6.354298e+002,8.904591e+001
6.359119e+002,8.903024e+001
6.363940e+002,8.901211e+001
6.368762e+002,8.899371e+001
6.373583e+002,8.897720e+001
6.378404e+002,8.896462e+001
6.383225e+002,8.895697e+001
6.388046e+002,8.895485e+001
6.392867e+002,8.895878e+001
6.397689e+002,8.896949e+001
6.402510e+002,8.898827e+001
