long_onda,abs
6.002353e+002,2.978840e+001
6.007174e+002,2.983661e+001
6.011995e+002,2.990853e+001
6.016816e+002,3.000770e+001
6.021638e+002,3.012151e+001
6.026459e+002,3.022721e+001
6.031280e+002,3.030540e+001
6.036101e+002,3.035043e+001
6.040922e+002,3.037309e+001
6.045743e+002,3.039444e+001
6.050565e+002,3.043368e+001
6.055386e+002,3.049796e+001
6.060207e+002,3.057802e+001
6.065028e+002,3.065450e+001
6.069849e+002,3.070846e+001
6.074670e+002,3.073306e+001
6.079492e+002,3.073601e+001
6.084313e+002,3.073498e+001
6.089134e+002,3.074552e+001
6.093955e+002,3.077223e+001
6.098776e+002,3.080507e+001
6.103597e+002,3.082679e+001
6.108419e+002,3.082267e+001
6.113240e+002,3.079138e+001
6.118061e+002,3.074619e+001
6.122882e+002,3.070951e+001
6.127703e+002,3.069975e+001
6.132524e+002,3.072050e+001
6.137346e+002,3.075815e+001
6.142167e+002,3.078867e+001
6.146988e+002,3.079158e+001
6.151809e+002,3.075899e+001
6.156630e+002,3.070089e+001
6.161451e+002,3.063819e+001
6.166273e+002,3.059234e+001
6.171094e+002,3.057190e+001
6.175915e+002,3.056907e+001
6.180736e+002,3.056482e+001
6.185557e+002,3.054230e+001
6.190378e+002,3.049688e+001
6.195200e+002,3.043929e+001
6.200021e+002,3.038913e+001
6.204842e+002,3.036439e+001
6.209663e+002,3.037173e+001
6.214484e+002,3.040358e+001
6.219305e+002,3.044357e+001
6.224127e+002,3.047643e+001
6.228948e+002,3.049741e+001
6.233769e+002,3.051375e+001
6.238590e+002,3.053997e+001
6.243411e+002,3.058739e+001
6.248232e+002,3.065750e+001
6.253054e+002,3.073969e+001
6.257875e+002,3.081858e+001
6.262696e+002,3.088216e+001
6.267517e+002,3.093001e+001
6.272338e+002,3.097282e+001
6.277159e+002,3.102689e+001
6.281981e+002,3.110366e+001
6.286802e+002,3.120323e+001
6.291623e+002,3.131418e+001
6.296444e+002,3.142057e+001
6.301265e+002,3.151207e+001
6.306086e+002,3.159013e+001
6.310908e+002,3.166846e+001
6.315729e+002,3.176549e+001
6.320550e+002,3.189527e+001
6.325371e+002,3.205804e+001
6.330192e+002,3.224010e+001
6.335013e+002,3.241930e+001
6.339835e+002,3.257748e+001
6.344656e+002,3.270771e+001
6.349477e+002,3.281747e+001
6.354298e+002,3.292241e+001
6.359119e+002,3.303806e+001
6.363940e+002,3.317106e+001
6.368762e+002,3.331665e+001
6.373583e+002,3.346346e+001
6.378404e+002,3.360157e+001
6.383225e+002,3.372971e+001
6.388046e+002,3.385610e+001
6.392867e+002,3.399397e+001
6.397689e+002,3.415276e+001
6.402510e+002,3.433290e+001
6.407331e+002,3.452428e+001
6.412152e+002,3.471270e+001
6.416973e+002,3.488668e+001
